No,School Name,County,School Admin Email
1,School 101,c 101,school101@test.com
2,School 102,c 102,school102@test.com
3,School 103,c 103,school103@test.com
4,School 104,c 104,school104@test.com
5,School 105,c 105,school105@test.com
6,School 106,c 106,school106@test.com
7,School 107,c 107,school107@test.com
8,School 108,c 108,school108@test.com
9,School 109,c 109,school109@test.com
10,School 110,c 110,school110@test.com
11,School 111,c 111,school111@test.com
12,School 112,c 112,school112@test.com
13,School 113,c 113,school113@test.com
14,School 114,c 114,school114@test.com
15,School 115,c 115,school115@test.com
16,School 116,c 116,school116@test.com
17,School 117,c 117,school117@test.com
18,School 118,c 118,school118@test.com
19,School 119,c 119,school119@test.com
20,School 120,c 120,school120@test.com
21,GIIS,Hadapsar,giis_hadapsar@gmail.com
